att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,c
None,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,True,False,False,True,True,True
None,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True
None,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True
None,False,True,True,False,True,True,True,True,False,True,True,False,True,False,False,True,False,False,True,False,True
None,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
None,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
None,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True
None,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,True,False,False,True,True,True
None,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
None,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True
None,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,True,True
None,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,True,False,True,True,True
None,True,True,False,False,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,False,False
None,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,True,True,True,False,True,True
None,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True
None,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True
None,True,False,True,False,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True
None,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False
None,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True
None,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
None,False,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,True,True
None,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True
None,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,True,False,False,True,False
None,True,False,True,False,False,True,True,False,True,True,False,False,False,True,False,True,True,True,False,True,True
None,True,False,True,False,True,True,True,True,False,True,True,False,False,True,False,True,False,False,True,True,True
None,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,True,True,True,True,True,True
None,True,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,True,True,True
None,True,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,True,True
None,True,True,False,False,True,False,True,False,True,True,False,False,True,True,True,False,True,False,True,False,True
None,True,False,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,False,True,False
None,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,False,False,False,True,False
None,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True,True
None,True,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,True,True,False,False
None,True,True,True,True,False,True,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True
None,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,True
None,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True
None,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False,True,True
None,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True
None,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,True,False
None,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False
None,True,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,False,True,False
None,True,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,True,False,True,True,True
None,True,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True
None,True,True,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False,True,True
None,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,True
None,True,True,True,True,True,False,True,False,True,True,False,False,False,True,False,True,True,True,True,True,True
None,True,False,True,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False
None,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True
None,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,True,True,True,True,True,True
None,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True
None,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,False,False
None,False,True,True,False,True,True,True,True,True,False,True,False,False,True,False,True,False,False,True,False,True
None,False,True,True,False,True,True,False,False,True,False,True,False,True,True,True,True,False,False,True,True,True
None,True,False,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True
None,True,False,True,False,True,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False
None,False,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True
None,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,True,True,False,False
None,True,True,True,True,True,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False
None,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,True,True
None,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False
None,False,True,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,True
None,True,False,True,False,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,True,True
None,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,False,False,True,True
None,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False
None,True,True,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,True
None,False,True,True,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False
None,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False
None,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,True,False,False,False,True,False
None,True,True,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,False,True,True,True
None,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,True,True,False,False
None,True,False,True,False,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True
None,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,True,True
None,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False
None,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,False,False,True,False,False
None,False,True,True,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True
None,True,False,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True
None,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False
None,False,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True
None,True,False,True,False,True,True,False,False,True,False,True,False,True,False,False,True,True,True,False,True,False
None,True,True,False,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True
None,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,True,True,False,False
None,True,True,False,False,False,True,True,False,True,True,True,True,True,False,False,True,False,False,True,True,True
None,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,True,True
None,False,True,True,False,True,True,False,False,True,True,False,False,False,True,False,True,True,True,True,False,False
None,True,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True
None,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False
